Time 1 Elf Elf Beradin: Selected Toy whistle, Boy
Time 1 Elf Elf Beradin: Wrapped Toy whistle, in Blue wrapping paper.
Time 1 Elf Elf Beradin: Placed Toy whistle, on the sleigh. 
Time 2 Elf Elf Beradin: Selected Toy doll, Girl
Time 3 Elf Elf Beradin: Wrapped Toy doll, in Pink wrapping paper.
Time 3 Elf Elf Beradin: Placed Toy doll, on the sleigh. 
Time 4 Elf Elf Beradin: Selected Toy train, Boy
Time 4 Elf Elf Beradin: Wrapped Toy train, in Blue wrapping paper.
Time 4 Elf Elf Beradin: Placed Toy train, on the sleigh. 
Time 4 Elf Elf Beradin: Selected Toy fake tattoo, Boy
Time 5 Elf Elf Beradin: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 5 Elf Elf Beradin: Placed Toy fake tattoo, on the sleigh. 
Time 6 Elf Elf Beradin: Selected Toy doll, Boy
Time 6 Elf Elf Beradin: Wrapped Toy doll, in Blue wrapping paper.
Time 6 Elf Elf Beradin: Placed Toy doll, on the sleigh. 
Time 7 Elf Elf Beradin: Selected Toy train, Girl
Time 8 Elf Elf Beradin: Wrapped Toy train, in Pink wrapping paper.
Time 8 Elf Elf Beradin: Placed Toy train, on the sleigh. 
Time 9 Elf Elf Beradin: Selected Toy whistle, Boy
Time 9 Elf Elf Beradin: Wrapped Toy whistle, in Blue wrapping paper.
Time 9 Elf Elf Beradin: Placed Toy whistle, on the sleigh. 
Time 10 Elf Elf Beradin: Selected Toy whistle, Girl
Time 10 Elf Elf Beradin: Wrapped Toy whistle, in Pink wrapping paper.
Time 10 Elf Elf Beradin: Placed Toy whistle, on the sleigh. 
Time 11 Elf Elf Beradin: Selected Toy whistle, Boy
Time 12 Elf Elf Beradin: Wrapped Toy whistle, in Blue wrapping paper.
Time 12 Elf Elf Beradin: Placed Toy whistle, on the sleigh. 
Time 12 Elf Elf Beradin: Selected Toy whistle, Boy
Time 12 Elf Elf Beradin: Wrapped Toy whistle, in Blue wrapping paper.
Time 12 Elf Elf Beradin: Placed Toy whistle, on the sleigh. 
Time 13 Elf Elf Beradin: Selected Toy bracelet, Girl
Time 14 Elf Elf Beradin: Wrapped Toy bracelet, in Pink wrapping paper.
Time 14 Elf Elf Beradin: Placed Toy bracelet, on the sleigh. 
Time 14 Elf Elf Beradin: Selected Toy doll, Boy
Time 14 Elf Elf Beradin: Wrapped Toy doll, in Blue wrapping paper.
Time 14 Elf Elf Beradin: Placed Toy doll, on the sleigh. 
Time 15 Elf Elf Beradin: Selected Toy dinosaur, Boy
Time 15 Elf Elf Beradin: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 15 Elf Elf Beradin: Placed Toy dinosaur, on the sleigh. 
Time 16 Elf Elf Beradin: Selected Toy train, Boy
Time 16 Elf Elf Beradin: Wrapped Toy train, in Blue wrapping paper.
Time 16 Elf Elf Beradin: Placed Toy train, on the sleigh. 
Time 16 Elf Elf Beradin: Selected Toy bracelet, Boy
Time 16 Elf Elf Beradin: Wrapped Toy bracelet, in Blue wrapping paper.
Time 16 Elf Elf Beradin: Placed Toy bracelet, on the sleigh. 
Time 17 Elf Elf Beradin: Selected Toy dinosaur, Girl
Time 17 Elf Elf Beradin: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 17 Elf Elf Beradin: Placed Toy dinosaur, on the sleigh. 
Time 18 Elf Elf Beradin: Selected Toy whistle, Girl
Time 18 Elf Elf Beradin: Wrapped Toy whistle, in Pink wrapping paper.
Time 18 Elf Elf Beradin: Placed Toy whistle, on the sleigh. 
Time 18 Elf Elf Beradin: Selected Toy doll, Boy
Time 19 Elf Elf Beradin: Wrapped Toy doll, in Blue wrapping paper.
Time 19 Elf Elf Beradin: Placed Toy doll, on the sleigh. 
Time 19 Elf Elf Beradin: Selected Toy train, Boy
Time 19 Elf Elf Beradin: Wrapped Toy train, in Blue wrapping paper.
Time 19 Elf Elf Beradin: Placed Toy train, on the sleigh. 
Time 20 Elf Elf Beradin: Selected Toy whistle, Boy
Time 21 Elf Elf Beradin: Wrapped Toy whistle, in Blue wrapping paper.
Time 21 Elf Elf Beradin: Placed Toy whistle, on the sleigh. 
Time 21 Elf Elf Beradin: Selected Toy train, Boy
Time 22 Elf Elf Beradin: Wrapped Toy train, in Blue wrapping paper.
Time 22 Elf Elf Beradin: Placed Toy train, on the sleigh. 
Time 23 Elf Elf Beradin: Selected Toy doll, Girl
Time 23 Elf Elf Beradin: Wrapped Toy doll, in Pink wrapping paper.
Time 23 Elf Elf Beradin: Placed Toy doll, on the sleigh. 
Time 24 Elf Elf Beradin: Selected Toy fake tattoo, Girl
Time 25 Elf Elf Beradin: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 25 Elf Elf Beradin: Placed Toy fake tattoo, on the sleigh. 
