Time 1 Elf Elf Matt: Selected Toy fake tattoo, Girl
Time 1 Elf Elf Matt: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 1 Elf Elf Matt: Placed Toy fake tattoo, on the sleigh. 
Time 2 Elf Elf Matt: Selected Toy whistle, Girl
Time 2 Elf Elf Matt: Wrapped Toy whistle, in Pink wrapping paper.
Time 2 Elf Elf Matt: Placed Toy whistle, on the sleigh. 
Time 3 Elf Elf Matt: Selected Toy doll, Girl
Time 4 Elf Elf Matt: Wrapped Toy doll, in Pink wrapping paper.
Time 4 Elf Elf Matt: Placed Toy doll, on the sleigh. 
Time 4 Elf Elf Matt: Selected Toy doll, Boy
Time 5 Elf Elf Matt: Wrapped Toy doll, in Blue wrapping paper.
Time 5 Elf Elf Matt: Placed Toy doll, on the sleigh. 
Time 5 Elf Elf Matt: Selected Toy dinosaur, Girl
Time 5 Elf Elf Matt: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 5 Elf Elf Matt: Placed Toy dinosaur, on the sleigh. 
Time 6 Elf Elf Matt: Selected Toy train, Girl
Time 7 Elf Elf Matt: Wrapped Toy train, in Pink wrapping paper.
Time 7 Elf Elf Matt: Placed Toy train, on the sleigh. 
Time 8 Elf Elf Matt: Selected Toy bracelet, Girl
Time 8 Elf Elf Matt: Wrapped Toy bracelet, in Pink wrapping paper.
Time 8 Elf Elf Matt: Placed Toy bracelet, on the sleigh. 
Time 8 Elf Elf Matt: Selected Toy train, Girl
Time 9 Elf Elf Matt: Wrapped Toy train, in Pink wrapping paper.
Time 9 Elf Elf Matt: Placed Toy train, on the sleigh. 
Time 9 Elf Elf Matt: Selected Toy train, Boy
Time 10 Elf Elf Matt: Wrapped Toy train, in Blue wrapping paper.
Time 10 Elf Elf Matt: Placed Toy train, on the sleigh. 
Time 11 Elf Elf Matt: Selected Toy whistle, Girl
Time 11 Elf Elf Matt: Wrapped Toy whistle, in Pink wrapping paper.
Time 11 Elf Elf Matt: Placed Toy whistle, on the sleigh. 
Time 12 Elf Elf Matt: Selected Toy bracelet, Girl
Time 12 Elf Elf Matt: Wrapped Toy bracelet, in Pink wrapping paper.
Time 12 Elf Elf Matt: Placed Toy bracelet, on the sleigh. 
Time 12 Elf Elf Matt: Selected Toy bracelet, Girl
Time 13 Elf Elf Matt: Wrapped Toy bracelet, in Pink wrapping paper.
Time 13 Elf Elf Matt: Placed Toy bracelet, on the sleigh. 
Time 13 Elf Elf Matt: Selected Toy bracelet, Boy
